Name,Accession_name,Height_mean,Height_sd,Height_NA_out_mean,Height_NA_out_sd,Circumference_mean,Circumference_sd,Circumference_NA_out_mean,Circumference_NA_out_sd,BLUP_height,BLUP_circ,Height_2012,Circumference_2012,Height_2013,Circumference_2013,Height_2014,Circumference_2014,PCo1,PCo2,PCo3,PCo4,PCo5
leda_E6,leda,85,5,85,5,310,36.0555127546,310,36.0555127546,89.357872531,328.5325982539,90,300,85,350,80,280,136.8273361723,28.1326984185,34.4734712565,5.0498877757,-45.0736147607
leuchtstern_G2,leuchtstern,228.3333333333,29.2973263854,228.3333333333,29.2973263854,943.3333333333,35.1188458428,943.3333333333,35.1188458428,225.5358090077,943.9387515822,240,980,250,940,195,910,-117.068988437,113.0128176235,-103.9781269596,19.5977195581,-108.0968500332
louis_lille_D9,louis_lille,32.5,3.5355339059,32.5,3.5355339059,80,14.1421356237,80,14.1421356237,45.5084547843,103.3483748766,NA,NA,35,90,30,70,149.0836630741,76.6700934529,71.9894420196,9.5847936987,33.9454973012
marguerite_de_roman_E12,marguerite_de_roman,48.3333333333,20.2072594216,48.3333333333,20.2072594216,126.6666666667,15.2752523165,126.6666666667,15.2752523165,54.521656223,150.3887117641,60,130,60,140,25,110,-28.4425947086,-1.5657778412,45.6647950587,-77.1263857744,-44.795019173
marie_dermar_G5,marie_dermar,226.6666666667,15.2752523165,226.6666666667,15.2752523165,680,20,680,20,223.9523446301,688.0593509878,240,700,230,660,210,680,-43.2870818595,-75.632043109,22.6235633938,-27.8127996258,-45.6066498464
maupertuis_H8,maupertuis,65,10,65,10,223.3333333333,70.2376916857,223.3333333333,70.2376916857,70.3562999994,244.3191246405,75,150,65,290,55,230,149.7510298604,75.5396806198,76.1983725782,-0.3403486713,19.2942887051
may_queen_D11,may_queen,220,14.1421356237,220,14.1421356237,1070,183.8477631085,1070,183.8477631085,219.3099915594,1051.9004691802,NA,NA,230,940,210,1200,-94.1567128939,17.3558786864,-44.4492415799,-6.8334269688,7.9493219745
mercedes_B1,mercedes,66.6666666667,20.8166599947,66.6666666667,20.8166599947,183.3333333333,5.7735026919,183.3333333333,5.7735026919,71.939764377,205.4513675882,90,180,50,190,60,180,151.2319845993,71.0560699185,64.7683842197,12.438033338,33.4324037901
minette_D8,minette,220,26.4575131106,220,26.4575131106,733.3333333333,120.1388086063,733.3333333333,120.1388086063,217.6184871195,739.8830270575,240,850,230,740,190,610,156.7693283835,-96.3499682925,-83.9435360884,22.099867515,-69.4595307246
miranda_F10,miranda,96.6666666667,15.2752523165,96.6666666667,15.2752523165,176.6666666667,41.6333199893,176.6666666667,41.6333199893,100.4421231744,198.9734080795,110,210,100,190,80,130,52.9102596492,13.1503514158,20.158795215,-2.5319909491,-30.480567125
mle_cecile_brunner_D12,mle_cecile_brunner,83.3333333333,23.0940107676,83.3333333333,23.0940107676,278.3333333333,40.7226390762,278.3333333333,40.7226390762,87.7744081534,297.7622905874,110,325,70,250,70,260,-164.4839804049,-36.7995398421,23.0085181809,152.8338149759,-101.6292943483
mme_a_meilland_climbing_E1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130.5839898913,-107.6541906974,84.3612405015,29.1202100272,7.4947179245
mme_antoine_mary_E3,mme_antoine_mari,140,0,140,0,375,49.4974746831,375,49.4974746831,145.1546692021,385.9977363105,NA,NA,140,410,140,340,-222.102483791,-113.2859429397,77.186695384,121.1643020395,15.3122117893
