Name,year_obtained_Cristiana,year_obtained,CoderemonteeHarmonise3years,codenumremonteeHarmonise3years,codenumremonteeAvg3years,IDJeremyYear1,coderemonteeYear1,codenumremonteeYear1,IDJeremyYear2,coderemonteeYear2,codenumremonteeYear2,IDJeremyYear3,coderemonteeYear3,codenumremonteeYear3,Nb_Clust_A3,Lmax_P_A3,Rat_P_A3,Min_M_A3,DifMax_M_A3,Min_V_A3,Area_Peak_Inflo_A3,Reb_Mag_A3,Max_Peak_A3,Max_Reb_A3,First_Reb_A3,Rat_Peak_A3,First_Flo_A3,Cont_Flo_A3,PCo1,PCo2,PCo3,PCo4,PCo5
duchesse_de_portland_C2,1799,1799,NR,1,1,NR43,NR,1,NR60,NR,1,NR61,NR,1,1,0,0,7.759602256,29,1.2022108052,1.7464165194,0,1.8491469029,0,30,0,6,0,144.4936582512,18.7784378994,29.2169217098,-1.8740999261,-33.0882007426
duchesse_de_verneuil_A7,1856,1859,NR,1,1,NR16,NR,1,NR21,NR,1,NR15,NR,1,1,0,0,9.1803719399,29,1.1810720034,22.3349968433,0,26.9333785463,0,30,0,7,0,152.6316460387,56.2694852661,61.4751567265,2.1168346935,16.2797181284
duchesse_du_berry_C1,1818,1825,NR,1,1,NR153,NR,1,NR220,NR,1,NR228,NR,1,1,0,0,11.5998073755,29,0.3229143283,5.8686900565,0,10.5636421017,0,30,0,11,0,149.7515663949,76.6335716573,74.0035072892,7.9679177651,32.8794608498
enfant_de_france_B10,1857,1857,R,2,2.5,NA,NA,NA,R32,R,2,RF47,RF,3,2,-0.4179738824,0.5188810043,5.7311529286,11.9779520622,1.4297837381,51.4862569175,0.3367477593,14.909147756,3.5781954614,10,0.24,1,1,30.1967534998,5.2240529351,80.2022551298,92.86258191,31.5773482148
ernest_morel_C3,1898,1898,RF,3,2.66,RF56,RF,3,R92,R,2,RF107,RF,3,2,-0.5108256238,0.6666666667,8.4903652712,10.1613570079,0.3192884103,8.5237968168,0.6,4.2618984084,8.5237968168,18,2,8,0,-90.2227598652,-117.6097713422,72.3495426766,-113.3455753813,12.6552048817
ernst_dorell_F11,1887,1887,NR,1,1,NR26,NR,1,NR37,NR,1,NR35,NR,1,1,0,0,8.5236842986,29,2.3329740706,26.9209879978,0,26.3129476139,0,30,0,2,0,-62.7826019723,82.1609575575,-45.3553855814,-64.098667659,-28.314664793
etoile_de_lyon_G11,1881,1881,R,2,2,NA,NA,NA,R8,R,2,R10,R,2,7,-1.322367831,2.7522956687,7.9370734699,13.1139259205,0.0466394323,25.4386040841,0.1891891892,5.0877208168,1.6959069389,17,0.3333333333,8,0,-203.4675157773,-146.3608260019,113.9790230556,179.3525290745,44.676537522
eugene_furst_C12,1875,1875,RF,3,3,RF48,RF,3,RF72,RF,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135.6887283193,-138.7577132328,65.4100715744,-145.2229324857,33.8053549196
euphrosine_G10,1895,1895,NR,1,1.33,NR45,NR,1,NR62,NR,1,R24,R,2,2,-0.2782926202,0.3208726546,5.7920529553,4.2009158842,1.3697010344,7.8958386997,0.229497775,20.0653326692,6.2476149447,9,0.3113636364,3,0,-201.5502011992,151.7333885432,-166.6097885686,-73.3209205909,46.2282974034
fatinitza_A3,1886,1886,NA,NA,2.33,NR37,NR,1,RF21,RF,3,NR54,NR,1,2,-0.0120725812,0.012145749,6.3284359265,22.5104960617,0.7931588699,11.6239600367,0.0169014085,20.4002163967,0.3330647575,28,0.0163265306,4,0,-182.870950616,41.2749237692,-56.3080827276,67.8280802513,59.8997321402
francois_arago_C6,1858,1858,RF,3,3,RF55,RF,3,RF79,RF,3,RF106,RF,3,4,-1.0223557898,1.7797355293,4.7742901568,16.4435078671,0.5098220121,4.5451460191,0.5535714286,5.6359810637,3.2725051338,8,0.5806451613,1,1,-131.0010370015,-125.9758325118,62.6356775994,-81.6655015356,31.4496236201
francois_foucard_C7,1900,1900,R,2,2.33,R14,R,2,R14,R,2,RF21,RF,3,2,-0.2027195193,0.2247289073,8.546842671,9.5740381937,2.2411547826,12.155869906,0.2075134168,30.4582744824,2.9909476744,12,0.0981981982,3,1,-167.4775629704,45.6750527031,-46.0716069804,135.2799271403,30.2139930115
fulgens_gallique_D1,1828,1828,NR,1,1,NA,NA,NA,NR215,NR,1,NR221,NR,1,1,0,0,6.6241175573,29,2.2825098751,23.8955192767,0,25.9392150043,0,30,0,2,0,-42.7414312016,-6.9590818448,51.2584115681,30.4362726814,5.2513815284
gaspard_monge_B8,1854,1854,NR,1,1,NR23,NR,1,NR32,NR,1,NR30,NR,1,2,-0.4831714557,0.6212078465,6.8913034934,2.6009174448,1.3433237286,11.7008462121,0,7.7720949292,0,30,0,3,0,3.8182843625,20.7089675264,12.2673643716,-40.3586434712,-29.2338139672
geant_des_batailles_C8,1846,1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.1364757275,-77.2479109368,55.4035229652,-98.9539897392,19.9131991489
general_jacqueminot_C9,1853,1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.781672399,-104.0111561857,50.2488071013,-128.4759213199,4.6431774816
general_kleber_B7,1856,1856,NR,1,1,NR15,NR,1,NR20,NR,1,NR14,NR,1,1,0,0,9.6567170204,29,1.038059778,19.2973099088,0,20.6467721402,0,30,0,8,0,144.6086766055,60.6581854666,52.8137959816,11.5283441443,16.8103569454
geschwind_s_orden_D9,1886,1886,NR,1,1,NR32,NR,1,NR48,NR,1,NR49,NR,1,1,0,0,8.8384715757,29,1.9655209168,14.8392113788,0.0053078556,51.8659736025,0.158369385,15,0.0030534351,5,0,33.848112825,-52.9673420554,-48.7759493098,-21.8908150272,-52.0727960647
gilda_A6,1887,1887,NR,1,1.33,NR2,NR,1,NR2,NR,1,R2,R,2,3,-0.7765204535,1.1738949218,7.3449081403,5.2181423705,0.5852398371,8.5801380467,0.093220339,6.3749623805,1.2629642452,12,0.1981132075,5,0,-20.0350063932,62.6121706122,-37.4351090732,-47.4608892475,24.6694925807
gloire_de_dijon_C11,1850,1850,R,2,2,NA,NA,NA,NA,NA,NA,R81,R,2,3,-0.4208478442,0.5232524891,9.2194540152,10.6600773757,0.0582509072,1.5858048369,0.2820512821,2.2087995942,0.8495383055,12,0.3846153846,6,0,-104.6557732403,-65.1236775212,65.5890915918,67.6521788621,12.8776968335
gloire_de_ducher_C12,1865,1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135.5488530573,-76.8975419709,44.3037049533,-106.1541808105,7.7334385867
gloire_des_rosomanes_D1,1825,1825,RF,3,3,RF16,RF,3,RF34,RF,3,RF44,RF,3,4,-0.716839106,1.0479496174,5.8429130333,23.010533575,0.8319389858,7.4737592529,0.7889908257,2.5995684358,3.2494605447,10,1.25,4,0,-88.9876196829,-52.3097979146,-22.5417223011,40.0656463189,-63.3659241602
himmelsauge_A12,1893,1893,NR,1,1,NR133,NR,1,NR190,NR,1,NR189,NR,1,1,0,0,6.9226993655,29,1.5598960387,23.9743977189,0,24.8913703646,0,30,0,2,0,-6.8035938761,138.0772759729,-65.3212506021,-24.9997618838,42.5961158826
hippolyte.D7,NA,1832,NR,1,1,NR12,NR,1,NR17,NR,1,NR12,NR,1,1,0,0,8.99669866,29,1.8993736926,13.6164530073,0,17.8860187808,0,30,0,6,0,5.8967300009,78.1748895768,2.083093217,-24.2916782033,28.9167306553
horace_vernet.E7,1866,1866,NR,1,1,NR6,NR,1,NR8,NR,1,NR4,NR,1,2,-0.2555192029,0.2911318062,6.7774419981,2.4811394117,0.7917482074,10.2522634969,0,18.5062044477,0,30,0,5,0,129.4446836438,21.0485896066,26.2348714664,4.9005958681,-56.9719043376
hovyn_de_tronchere_D3,1898,1899,RF,3,3,NA,NA,NA,NA,NA,NA,RF17,RF,3,3,-0.9184588161,1.5054260905,5.0096993546,19.4076434005,1.1555603761,7.4449599303,0.6296296296,2.2334879791,3.3502319686,12,1.5,3,0,-194.5153023447,-115.1143830519,92.6611182452,177.9040149805,39.1742512928
hume_s_blush_tea_scented_china_C7,NA,1809,RF,3,3,RF3,RF,3,RF4,RF,3,RF7,RF,3,3,-0.750346605,1.1177339065,7.9007917632,17.2112998658,2.4401040099,85.0013886621,0.4977777778,21.0622909959,9.7789208195,12,0.4642857143,4,1,-244.4056916941,-86.3033137298,49.2140461064,76.8277870869,49.6777994578
hybride_de_rosa_wichurana_H12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.3629762121,157.7971304448,-145.1525705017,-14.3504772728,62.4998794639
imperatrice_josephine_E9,1815,1815,NR,1,1,NR88,NR,1,NR118,NR,1,NR112,NR,1,1,0,0,9.319637319,29,1.1045154093,12.3092187573,0,13.0667091424,0,30,0,8,0,155.8534353813,19.5817827791,11.905907034,12.4923348254,18.3858585025
indigo_D3,1845,1830,R,2,2.33,RF49,RF,3,R85,R,2,R105,R,2,3,-0.83571857,1.3064708137,6.757090177,6.6060361278,0.1972281962,18.3773514338,0.193989071,14.7641772536,5.7935379097,13,0.3924050633,5,0,147.2169452784,60.8868346795,60.7594479987,7.0468062538,9.9129913174
jacques_cartier_blanc_G1,NA,1868,R,2,1.66,R51,R,2,R65,R,2,NR220,NR,1,2,-0.0264009576,0.0267525502,8.973932801,10.8561923128,2.9964505463,29.3497208089,0.0277777778,20.7544454291,0.9433838831,18,0.0454545455,4,0,24.4821779237,76.9281095216,25.722664863,2.5313557604,-44.8864220677
